epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.8806,0.88636,0.73964,1,1.0813,0.000414474,0.000414474,0.000414474
2,89.4809,0.79163,0.66272,1,2.20723,0.000822912,0.000822912,0.000822912
3,130.61,0.84435,0.56213,1,1.04321,0.0012231,0.0012231,0.0012231
4,169.515,0.90122,0.73373,1,0.85824,0.00121287,0.00121287,0.00121287
5,209.933,0.84744,0.75148,1,0.69759,0.0012005,0.0012005,0.0012005
6,249.375,0.73866,0.73373,1,0.57235,0.00118812,0.00118812,0.00118812
7,289.579,0.72173,0.76923,1,0.69515,0.00117575,0.00117575,0.00117575
8,329.284,0.67673,0.78698,1,0.8748,0.00116337,0.00116337,0.00116337
9,368.14,0.60975,0.78107,1,0.62809,0.001151,0.001151,0.001151
10,407.333,0.60098,0.76923,1,0.66199,0.00113863,0.00113863,0.00113863
11,446.414,0.58732,0.76923,1,0.62374,0.00112625,0.00112625,0.00112625
12,486.907,0.53066,0.78107,1,0.69466,0.00111388,0.00111388,0.00111388
13,526.276,0.52083,0.59763,1,1.21549,0.0011015,0.0011015,0.0011015
14,566.284,0.49205,0.76331,1,0.70894,0.00108913,0.00108913,0.00108913
15,603.77,0.48599,0.75148,1,0.71012,0.00107675,0.00107675,0.00107675
16,643.18,0.45645,0.7574,1,0.61938,0.00106437,0.00106437,0.00106437
17,682.543,0.42738,0.7929,1,0.59395,0.001052,0.001052,0.001052
18,721.747,0.41171,0.75148,1,0.65511,0.00103962,0.00103962,0.00103962
19,760.332,0.37368,0.78107,1,0.6287,0.00102725,0.00102725,0.00102725
20,799.204,0.38454,0.78107,1,0.81567,0.00101488,0.00101488,0.00101488
21,837.536,0.33253,0.7574,1,0.71187,0.0010025,0.0010025,0.0010025
22,877.495,0.33178,0.7574,1,0.68953,0.000990125,0.000990125,0.000990125
23,916.04,0.32406,0.77515,1,0.65837,0.00097775,0.00097775,0.00097775
24,954.54,0.29513,0.80473,1,0.75749,0.000965375,0.000965375,0.000965375
25,993.765,0.31035,0.78698,1,0.77734,0.000953,0.000953,0.000953
26,1032.71,0.27339,0.7574,1,1.04724,0.000940625,0.000940625,0.000940625
27,1071.13,0.26234,0.7574,1,0.72986,0.00092825,0.00092825,0.00092825
28,1111.85,0.24863,0.76923,1,0.96277,0.000915875,0.000915875,0.000915875
29,1151.11,0.25826,0.77515,1,0.70361,0.0009035,0.0009035,0.0009035
30,1190.12,0.21626,0.80473,1,0.8077,0.000891125,0.000891125,0.000891125
31,1230.65,0.2143,0.79882,1,0.83634,0.00087875,0.00087875,0.00087875
32,1268.88,0.20058,0.7929,1,0.83081,0.000866375,0.000866375,0.000866375
33,1308.67,0.18403,0.72781,1,1.28621,0.000854,0.000854,0.000854
34,1347.67,0.1954,0.7929,1,0.81047,0.000841625,0.000841625,0.000841625
35,1385.87,0.15089,0.66864,1,1.13623,0.00082925,0.00082925,0.00082925
36,1425.05,0.17399,0.7574,1,0.91821,0.000816875,0.000816875,0.000816875
37,1464.83,0.15022,0.78107,1,0.91101,0.0008045,0.0008045,0.0008045
38,1502.76,0.18848,0.7574,1,1.04842,0.000792125,0.000792125,0.000792125
39,1541.83,0.17142,0.78107,1,1.12931,0.00077975,0.00077975,0.00077975
