epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2666,2.09351,3.57924,5.60187,1.98061,0.002,0.31078,0.00214,0.00084,0.00254,0.33459,0.00235,0.00087,1.97152,4.66766,inf,3.19998,0.000413043,0.000413043,0.000413043
2,60.7704,2.35113,3.37733,3.74727,2.26496,0.00139,0.38589,0.00141,0.00046,0.00654,0.02381,0.0052,0.00076,2.34625,1806.04,inf,8.80162,0.000825603,0.000825603,0.000825603
3,83.5052,2.40958,3.42418,3.8501,2.23686,0.00113,0.4557,0.00121,0.00035,0.00074,0.46189,0.00072,0.00018,nan,nan,nan,nan,0.00123404,0.00123404,0.00123404
4,106.616,2.43346,3.55609,4.01693,2.31204,0.37445,0.08521,0.06173,0.01692,0.38245,0.08521,0.07375,0.01388,2.11342,5.10556,13.6339,2.61556,0.00123144,0.00123144,0.00123144
5,134.653,2.59883,4.43709,4.03598,2.44364,0.36202,0.00877,0.00438,0.00131,6e-05,0.00877,3e-05,1e-05,2.50687,nan,655.453,34.5333,0.00122525,0.00122525,0.00122525
6,157.561,2.62181,4.00667,4.03861,2.48514,0.00095,0.4226,0.01023,0.00287,0.00084,0.38751,0.00864,0.00176,2.33054,134.302,4.75015,2.56472,0.00121906,0.00121906,0.00121906
7,181.132,2.54085,3.703,4.00878,2.41085,0.0018,0.19836,0.01085,0.00299,0.0012,0.09811,0.00247,0.00064,3.07736,154.547,4.54515,4.06544,0.00121287,0.00121287,0.00121287
8,203.827,2.40031,3.35879,3.74651,2.31095,0.38419,0.05447,0.02367,0.00592,0.38419,0.05447,0.02553,0.00678,2.09382,18.8834,3.63712,2.73914,0.00120669,0.00120669,0.00120669
9,226.67,2.44797,3.38088,3.64008,2.34695,0.40655,0.04386,0.02342,0.00571,0.43328,0.05263,0.02761,0.00708,2.20239,3.75253,42.5884,2.53466,0.0012005,0.0012005,0.0012005
10,249.102,2.33387,3.22706,3.2167,2.21583,0.35496,0.31078,0.0706,0.02621,0.35875,0.34336,0.10611,0.02844,1.92406,3.15632,7.17004,2.27395,0.00119431,0.00119431,0.00119431
11,272.288,2.23446,2.95787,3.0791,2.11292,0.12413,0.09649,0.12128,0.03449,0.07918,0.19505,0.10231,0.03375,1.86634,2.64214,2.70293,2.19473,0.00118812,0.00118812,0.00118812
12,296.979,2.21677,2.76732,2.96267,2.18031,0.2041,0.18126,0.12026,0.04344,0.16916,0.25557,0.10393,0.03476,1.93564,2.91329,3.61348,2.21553,0.00118194,0.00118194,0.00118194
13,320.613,2.0726,2.76556,2.96096,2.00502,0.4698,0.15288,0.13088,0.04524,0.4698,0.15288,0.13673,0.04264,1.88036,2.68311,2.6347,2.20007,0.00117575,0.00117575,0.00117575
