epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.896,1.12758,1.57426,1.20027,1.34056,0.45111,0.53243,0.43841,0.25766,0.46656,0.52462,0.48724,0.26766,1.25321,1.51105,1.55369,1.63563,0.000413043,0.000413043,0.000413043
2,441.951,1.15177,1.58541,1.21427,1.38067,0.47346,0.47914,0.48912,0.27787,0.46614,0.54784,0.52287,0.28044,1.30051,1.62061,1.41668,1.74717,0.000821496,0.000821496,0.000821496
3,653.918,1.11377,1.54284,1.19575,1.30442,0.52273,0.44805,0.43694,0.25189,0.53461,0.47224,0.47019,0.24738,1.41564,1.77181,1.62231,1.80005,0.0012217,0.0012217,0.0012217
4,855.471,1.22241,1.6479,1.25004,1.41821,0.37737,0.57065,0.42602,0.2244,0.41806,0.61757,0.48004,0.25221,1.51466,1.52973,1.40866,1.92982,0.00121287,0.00121287,0.00121287
5,964.446,1.27669,1.61355,1.25551,1.47893,0.52255,0.50612,0.50086,0.28015,0.53707,0.52993,0.52354,0.28358,1.29667,1.6182,1.48475,1.74215,0.0012005,0.0012005,0.0012005
6,1065.39,1.18908,1.52685,1.13969,1.40632,0.51803,0.44803,0.49161,0.27134,0.41951,0.66156,0.4982,0.27549,1.2369,1.61994,1.42959,1.68403,0.00118812,0.00118812,0.00118812
7,1180.18,1.1313,1.54365,1.15837,1.31468,0.46404,0.53656,0.50088,0.29959,0.50939,0.58875,0.54328,0.30987,1.25781,1.57251,1.41909,1.65344,0.00117575,0.00117575,0.00117575
8,1288.15,1.19178,1.46903,1.16273,1.41648,0.41135,0.68751,0.5051,0.28598,0.44727,0.74889,0.54774,0.29467,1.25511,1.6826,1.43706,1.64232,0.00116337,0.00116337,0.00116337
9,1394.53,1.10099,1.47349,1.22208,1.32496,0.43581,0.6105,0.50497,0.28429,0.46113,0.6301,0.51969,0.28311,1.32214,1.6019,1.51259,1.65243,0.001151,0.001151,0.001151
10,1495.85,1.13792,1.53557,1.12692,1.33774,0.42076,0.66664,0.50341,0.26622,0.42715,0.68557,0.51898,0.28458,1.31246,1.5704,1.40176,1.70241,0.00113863,0.00113863,0.00113863
11,1610.61,1.14413,1.49064,1.17098,1.33887,0.46102,0.55692,0.47156,0.26795,0.48318,0.58776,0.49667,0.2637,1.26974,1.71987,1.59744,1.63405,0.00112625,0.00112625,0.00112625
12,1730.73,1.10775,1.44949,1.19308,1.32208,0.53086,0.55839,0.50571,0.28911,0.54424,0.58091,0.52978,0.27726,1.22244,1.68613,1.48766,1.6076,0.00111388,0.00111388,0.00111388
13,1844.95,1.05941,1.43529,1.07679,1.28196,0.52582,0.56016,0.50652,0.28781,0.55105,0.59128,0.54765,0.29555,1.32604,1.54651,1.4516,1.73016,0.0011015,0.0011015,0.0011015
14,1953.85,1.10971,1.48162,1.09328,1.31014,0.45381,0.52846,0.48546,0.28569,0.54477,0.56037,0.54203,0.29047,1.2957,1.61643,1.4226,1.72738,0.00108913,0.00108913,0.00108913
15,2072.59,1.20429,1.56176,1.12416,1.40475,0.40182,0.56288,0.46127,0.2457,0.4187,0.59546,0.48362,0.23705,1.30162,1.79642,1.41987,1.68456,0.00107675,0.00107675,0.00107675
16,2174.19,1.11545,1.44181,1.08634,1.34205,0.50786,0.56049,0.48529,0.27557,0.55716,0.55459,0.50821,0.26311,1.30686,1.79157,1.41505,1.74454,0.00106437,0.00106437,0.00106437
17,2278.52,1.21122,1.547,1.25231,1.40177,0.48022,0.5976,0.52599,0.29076,0.49117,0.62141,0.54102,0.29648,1.31085,1.60944,1.3561,1.71636,0.001052,0.001052,0.001052
18,2388.37,1.08926,1.41074,1.07214,1.33316,0.41642,0.59528,0.49548,0.28139,0.43972,0.58432,0.52445,0.28289,1.30642,1.55745,1.36563,1.7561,0.00103962,0.00103962,0.00103962
19,2489.22,1.07957,1.48235,1.07713,1.29212,0.50186,0.4798,0.47718,0.27615,0.52804,0.51238,0.50973,0.27033,1.3296,1.51826,1.68214,1.81533,0.00102725,0.00102725,0.00102725
20,2608.14,1.05386,1.45022,1.08697,1.3016,0.57003,0.49552,0.4999,0.29708,0.57823,0.50582,0.52539,0.29468,1.31792,1.62487,1.49584,1.76869,0.00101488,0.00101488,0.00101488
21,2712.24,1.0811,1.47347,1.07085,1.31559,0.46396,0.59966,0.48916,0.28515,0.48641,0.63224,0.5281,0.29734,1.2356,1.64391,1.37533,1.74426,0.0010025,0.0010025,0.0010025
22,2838.35,1.10202,1.45068,1.04653,1.35065,0.63477,0.53163,0.51482,0.27627,0.64713,0.55876,0.55528,0.29026,1.32815,1.62828,1.44538,1.78619,0.000990125,0.000990125,0.000990125
